ID,German_Word,Plural_Form,English_Translation,Word_Type,Gender,Example_Sentence_DE,Example_Sentence_EN
629,sehr,,very,Verb,,Danke sehr!,Thank you very much!
630,sehr,,very,Verb,,Das ist sehr schwer.,That is very heavy.
631,sein,,his,Verb,,Herr Müller ist in seinem Zimmer.,Mr Müller is in his room.
632,sein,,to be,Verb,,Mir ist kalt.,I'm cold.
633,sein,,to be,Verb,,Ich bin dreiundzwanzig.,I am twenty three.
634,an sein,,to be on,Verb,,Das Licht ist noch an.,The light is still on.
635,auf sein,,to be open,Verb,,Das Fenster ist noch auf.,The window is still open.
636,weg sein,,to be gone,Verb,,Herr Meier ist schon weg.,Mr Meier is already gone.
637,zu sein,,to be closed,Verb,,Die Tür ist zu.,The door is closed.
638,seit,,for (an amount of time),Verb,,Ich wohne seit drei Jahren in Köln.,I have lived in Cologne for three years.
639,selbstständig,,independent,Verb,,Er ist selbstständig.,He is independent.
640,sich,,yourself,Verb,,Sie müssen sich erst anmelden.,You must register yourself first.
641,sie,,she,Verb,,Wie heißt sie?,What is she called?
642,Sie,,you (polite),Adjective,,"Wie heißen Sie, bitte?","What is your name, please?"
643,sitzen,,to sit,Verb,,Wo sitzen Sie?,Where are you sitting?
644,so,,like this,Verb,,Sie müssen das so machen!,You must do it like this!
645,so,,so,Verb,,Fahren Sie bitte nicht so schnell!,Please don’t drive so fast!
646,so,,as,Verb,,Meine Frau ist so groß wie ich.,My wife is as tall as me.
647,so,,so,Verb,,"So, das war's/wär's!","So, that's it!"
648,das Sofa,,sofa,Noun,n,Das Sofa ist neu.,The sofa is new.
649,sofort,,immediately,Verb,,Bitte antworten Sie sofort.,Please answer immediately.
650,der Sohn,"-ö, e",son,Noun,m,"Das ist Hans, mein Sohn.","That is Hans, my son."
651,sollen,,should,Verb,,Soll ich kommen?,Should I come?
652,sollen,,should,Verb,,Was soll ich mitbringen?,What should I bring with me?
653,die Sonne,,sun,Noun,f,Die Sonne scheint.,The sun is shining.
654,spät,,late,Verb,,"Es ist schon spät, ich muss gehen.","It is already late, I need to go."
655,später,,later,Verb,,Das können wir später machen.,We can do that later.
656,die Speisekarte,,menu,Noun,f,"Bringen Sie mir die Speisekarte, bitte.","Bring me the menu, please."
657,spielen,,to play,Verb,,Die Kinder spielen draußen.,The children are playing outside.
658,spielen,,to play,Verb,,Spielen Sie Karten?,Do you play cards?
659,der Sport,,sport,Noun,m,Ich mache viel Sport.,I do a lot of sport.
660,die Sprache,-n,language,Noun,f,Welche Sprachen sprichst du?,Which languages do you speak?
661,sprechen,,to speak,Verb,,Kann ich (mit) Herrn Klein sprechen?,Can I speak with Mr Klein?
662,die Stadt,"-ä, e",town / city,Noun,f,Heidelberg ist eine alte Stadt.,Heidelberg is an old town.
663,stehen,,to be (written),Verb,,"Ich glaube es nicht, aber es steht in der Zeitung.","I don’t believe it, but it says so in the paper."
664,stehen,,to be (located),Verb,,Der Bus steht schon an der Haltestelle.,The bus is already at the stop.
665,die Stelle,-n,job / position,Noun,f,Ich habe eine neue Stelle.,I have a new job.
666,stellen,,to put,Verb,,Stell die Tasche rechts in die Ecke!,Put your bag on the right in the corner.
667,der Stock,,floor (of a building),Noun,m,Unsere Wohnung liegt im ersten Stock.,Our flat is on the first floor.
668,die Straße,-n,street,Noun,f,In welcher Straße wohnen Sie?,Which street do you live on?
669,die Straßenbahn,,tram,Noun,f,Wo fährt die Straßenbahn ab?,From where does the tram depart?
670,studieren,,to study,Verb,,Ich studiere in Mainz.,I study in Mainz.
671,das Studium,,degree course,Noun,n,Das Studium beginnt im Oktober.,The degree course begins in October.
672,der Student,-en,student,Noun,m,Ich bin Studentin.,I am a student.
673,die Stunde,-n,hour,Noun,f,Ich bin in einer Stunde zurück.,I will be back in an hour.
674,suchen,,to look / search for,Verb,,Suchst du etwas?,Are you looking for something?
675,tanzen,,to dance,Verb,,Tanzen Sie gern?,Do you like to dance?
676,die Tasche,-n,bag,Noun,f,Ich habe die Schlüssel in der Tasche.,I have the key in the bag.
677,das Taxi,-s,taxi,Noun,n,Es gibt heute keinen Bus mehr. Er fährt mit dem Taxi.,There are no more buses today. He is travelling by taxi.
678,der Tee,,tea,Noun,m,Ich trinke morgens immer Tee.,I always drink tea in the morning.
679,der Teil,-e,part,Noun,m,Lies bitte auch den zweiten Teil.,Please also read the second part.
680,telefonieren,,to telephone,Verb,,Darf ich mal telefonieren?,May I make a phone call?
681,das Telefon,,telephone,Noun,n,Haben Sie ein Telefon?,Do you have a telephone?
682,der Termin,-e,appointment,Noun,m,Am besten machen wir sofort einen Termin.,It's best to make an appointment immediately.
683,der Test,,test,Noun,m,Der Test war einfach.,The test was simple.
684,teuer,,expensive,Verb,,Das ist mir zu teuer.,That is too expensive for me.
685,der Text,-e,text,Noun,m,Lesen Sie bitte diesen Text.,Please read this text.
686,das Thema,,topic,Noun,n,Wir sprechen heute über das Thema „Essen und Trinken“.,Today we are talking about the topic “Food and Drink”.
687,das Ticket,-s,ticket,Noun,n,Wie viel kostet das Ticket?,How much does the ticket cost?
688,der Tisch,-e,table,Noun,m,Die Fotos liegen auf dem Tisch.,The photos are on the table.
689,die Tochter,-ö,daughter,Noun,f,Das ist meine Tochter Katharina.,That is my daughter Katharina.
690,die Toilette,-en,toilet,Noun,f,"Wo ist die Toilette, bitte?","Where is the toilet, please?"
691,die Tomate,-n,tomato,Noun,f,Die Tomate ist noch grün.,The tomato is still green.
692,tot,,dead,Verb,,Sein Vater ist schon lange tot.,His father has been dead for a long time.
693,(sich) treffen,,to meet,Verb,,Ich treffe in der Stadt einen Kollegen.,I am meeting a colleague in town.
694,(sich) treffen,,to meet,Verb,,Wir treffen uns immer freitags.,We always meet on Fridays.
695,die Treppe,-n,stairs,Noun,f,Die Toilette? Die Treppe hoch und dann links.,The toilet? Up the stairs and then left.
696,trinken,,to drink,Verb,,Möchtest du etwas trinken?,Would you like something to drink?
697,tschüss,,...,Verb,,Junge Leute sagen meistens „tschüss!“ und nicht „auf Wiedersehen“.,Young people mostly say “tschüss!” and not “auf Wiedersehen”.
698,tun,,to do,Verb,,Ich habe noch etwas zu tun.,I still have something to do.
699,tun,,to do,Verb,,Was tut Ihr Mann?,What does your husband do?
700,über,,across,Verb,,Gehen Sie hier über die Straße.,Go across the street here.
701,über,,above,Verb,,Er wohnt im zweiten Stock über Familie Meier.,He lives on the second floor above the Meier family.
702,über,,over,Verb,,Sind Sie über 18?,Are you over 18?
703,übernachten,,to stay overnight,Verb,,Du kannst bei mir übernachten.,You can stay at mine overnight.
704,überweisen,,to transfer,Verb,,Sie können das Geld auch überweisen.,You can also transfer the money.
705,die Uhr,,o'clock / am / pm,Noun,f,Es ist vier Uhr.,It is four o’clock.
706,um,,at,Verb,,Er kommt um sieben Uhr.,He is coming at seven o’clock.
707,um,,around,Verb,,Da kommt er gerade um die Ecke.,Here he comes around the corner now.
708,umziehen,,to move (residence),Verb,,Nächsten Monat ziehen wir um.,Next month we are moving.
709,und,,and,Verb,,Peter und Helmut sind meine Söhne.,Peter and Helmut are my sons.
710,unser-,,our,Verb,,Das ist unsere Lehrerin.,That is our teacher.
711,unten,,at the bottom,Verb,,Er wohnt ganz unten im Haus.,He lives right at the bottom of the house.
712,unter,,below,Verb,,Unter uns wohnt eine Familie mit drei Kindern.,Below us lives a family with three children.
713,der Unterricht,,class,Noun,m,Wir haben Unterricht von 8:00 bis 12:00 Uhr.,We have classes from 8 am until 12 pm.
714,unterschreiben,,to sign,Verb,,Wo muss ich unterschreiben?,Where do I need to sign?
715,die Unterschrift,,signature,Noun,f,Hier fehlt noch Ihre Unterschrift.,Your signature is missing here.
716,der Urlaub,,holiday,Noun,m,Ich nehme im September Urlaub.,I’m taking holiday in September.
717,der Vater,-ä,father,Noun,m,Mein Vater ist Arbeiter.,My father is a worker.
718,verboten,,forbidden,Verb,,Hier ist Rauchen verboten.,Smoking is forbidden here.
719,verdienen,,to earn,Verb,,Ich verdiene 1.500 Euro im Monat.,"I earn 1,500 euros per month."
720,der Verein,,club,Noun,m,Es gibt einen neuen Sportverein in der Stadt.,There is a new sports club in the town.
721,verheiratet,,married,Verb,,Ich bin verheiratet und habe drei Kinder.,I am married and have three children.
722,verkaufen,,to sell,Verb,,Er verkauft sein altes Auto.,He is selling his old car.
723,der Verkäufer,–,salesperson,Noun,m,Meine Mutter ist Verkäuferin im Kaufhaus.,My mother is a saleswoman in a department store.
724,vermieten,,to rent out,Verb,,Die Wohnung ist schon vermietet.,The flat is already rented out.
725,der Vermieter,,landlord,Noun,m,Unser Vermieter heißt Huber. Er wohnt auch hier.,"Out landlord is called Huber. He lives here, too."
726,verstehen,,to understand,Verb,,Können Sie mich verstehen?,Can you understand me?
727,der Verwandte,-n,relative,Noun,m,Peter besucht seine Verwandten in Polen.,Peter visits his relatives in Poland.
728,viel,,a lot,Verb,,Hier regnet es viel.,It rains a lot here.
729,vielleicht,,perhaps / may(be),Verb,,Ich komme vielleicht mit dem Bus.,I may come by bus.
730,von,,"of (possessive “s"")",Verb,,Das Auto von Felix ist kaputt.,Felix’s car is broken.
731,von,,from,Verb,,Er kommt gerade von Köln/von zu Hause.,He’s coming from Cologne/home now.
732,vor,,ago,Verb,,Der Termin war vor einer Stunde.,The appointment was an hour ago.
733,vor,,in front of,Verb,,Das Auto steht vor der Tür.,The car is in front of the door.
734,der Vorname,-n,first name,Noun,m,"Ich heiße Müller, mein Vorname ist Eva.","I’m called Müller, my first name is Eva."
735,die Vorsicht,,…,Noun,f,Vorsicht! Da kommt ein Auto.,Careful! There’s a car coming.
736,die Vorsicht,,attention,Noun,f,Er arbeitet mit Vorsicht.,He works with caution.
737,(sich) vorstellen,,to introduce,Verb,,Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen?,We would like to get to know each other. Can you introduce yourself?
738,die Vorwahl,,area code,Noun,f,Wie ist die Vorwahl von München?,What is the area code for Munich?
739,wandern,,to hike,Verb,,Wir wandern um den Chiemsee.,We are hiking around the Chiem lake.
740,wann,,when,Verb,,Wann bist du fertig?,When will you be finished?
741,wann,,when,Verb,,Wann kann ich Sie anrufen?,When can I call you?
742,wann,,when,Verb,,Wann sind Sie geboren?,When were you born?
743,warten,,to wait,Verb,,Können Sie ein paar Minuten warten?,Can you wait a few minutes?
744,warten,,to wait,Verb,,Auf wen warten Sie?,Who are you waiting for?
745,warum,,why,Verb,,Warum kommt er nicht?,Why isn’t he coming?
746,was,,what,Verb,,Was ist das?,What is that?
747,was,,what,Verb,,Was möchten Sie?,What would you like?
748,was für ein,,what kind of,Verb,,Was für eine Farbe möchten Sie?,What colour would you like?
749,(sich) waschen,,to wash,Verb,,Wo kann ich mir die Hände waschen?,Where can I wash my hands?
750,(sich) waschen,,to wash,Verb,,Ich muss morgen waschen.,I need to do laundry tomorrow.
751,das Wasser,,water,Noun,n,"Ein Glas Wasser, bitte.","A glass of water, please."
752,weh tun,,to hurt,Verb,,Ich muss zum Arzt. Mein Bein tut weh.,I need to go to the doctor. My leg hurts.
753,weiblich,,female,Verb,,Kreuzen Sie bitte an: „weiblich“ oder „männlich“.,Please tick “female” or “male”.
754,der Wein,,wine,Noun,m,"Nein danke, ich möchte keinen Wein.","No thank you, I don’t want any wine."
755,weit,,far,Verb,,Zum Bahnhof ist es nicht weit.,It is not far to the station.
756,weiter,,further,Verb,,Der Bus fährt nicht weiter.,The bus doesn’t go any further.
757,welch-,,which,Verb,,Welches Buch möchtest du?,Which book would you like?
758,die Welt,,world,Noun,f,Es gibt viele Probleme auf der Welt.,There are many problems in the world.
759,wenig,,little / not very much,Verb,,Ich habe leider nur wenig verstanden.,Unfortunately I didn't understand very much.
760,wenig,,little,Verb,,Er verdient wenig.,He earns little.
761,wer,,who,Verb,,Wer ist das?,Who is that?
762,werden,,to become,Verb,,Mein Sohn will Arzt werden.,My son wants to become a doctor.
763,das Wetter,,weather,Noun,n,Wir hatten schlechtes Wetter.,We had bad weather.
764,wichtig,,important,Verb,,Dieses Formular ist sehr wichtig.,This form is very important.
765,wie,,what,Verb,,Wie heißt du?,What are you called?
766,wie,,like,Verb,,Er schreibt wie ein Kind.,He writes like a child.
767,wie,,as,Verb,,Meine Frau ist so groß wie ich.,My wife is as tall as me.
768,wie,,how,Verb,,Wie soll ich das machen?,How should I do that?
769,wie,,how,Verb,,Wie groß ist die Wohnung?,How big is the flat?
770,wie,,…,Verb,,Wie bitte?,Pardon?
771,wie,,how,Verb,,Wie lange bist du schon hier?,How long have you been here already?
772,wiederholen,,to repeat,Verb,,Können Sie das bitte wiederholen?,"Can you repeat that, please?"
773,das Wiederhören,,…,Noun,n,Auf Wiederhören!,Goodbye!
774,das Wiedersehen,,…,Noun,n,Auf Wiedersehen!,Goodbye!
775,wie viel,,how much,Verb,,Wie viel Milch nehmen Sie?,How much milk do you take?
776,willkommen,,…,Verb,,Herzlich willkommen!,Welcome!
777,der Wind,,wind,Noun,m,Der Wind kommt aus Osten.,The wind is coming from the east.
778,wir,,we,Verb,,Wir lernen Deutsch.,We are learning German.
779,wissen,,to know,Verb,,"Weißt du, wie er heißt?",Do you know what he is called?
780,wo,,where,Verb,,Wo waren Sie im Urlaub?,Where were you on holiday?
781,wo,,where,Verb,,Wo ist die Post?,Where is the post office?
782,wo,,where,Verb,,Wo sind Sie geboren?,Where were you born?
783,woher,,from where,Verb,,Woher kommen Sie?,Where do you come from?
784,wohin,,to where,Verb,,Wohin fährt dieser Bus?,Where does this bus go?
785,wohin,,to where,Verb,,Wohin wollen Sie am Wochenende?,Where do you want to go this weekend?
786,wohnen,,to live,Verb,,Ich wohne in München.,I live in Munich.
787,die Wohnung,-en,flat,Noun,f,Seit wann haben Sie diese Wohnung?,How long have you had this flat?
788,wollen,,to want,Verb,,Wollen Sie einen Kaffee trinken?,Do you want to get a coffee?
789,das Wort,"-ö, er/-e",word,Noun,n,Ich kenne das Wort nicht.,I don’t know that word.
790,wunderbar,,wonderful,Verb,,Das Essen schmeckt wunderbar.,The food tastes wonderful.
791,zahlen,,to pay,Verb,,"Wir möchten zahlen, bitte!","We’d like to pay, please!"
792,die Zeit,,time,Noun,f,Ich habe heute keine Zeit.,I have no time today
793,zurzeit,,at the moment,Verb,,Zurzeit habe ich sehr viel zu tun.,I have a lot to do at the moment.
794,die Zeitung,-en,newspaper,Noun,f,Ich lese gern Zeitung.,I like to read the newspaper.
795,die Zigarette,-n,cigarette,Noun,f,Wie teuer sind die Zigaretten?,How expensive are the cigarettes?
796,das Zimmer,–,room,Noun,n,Das Zimmer ist groß.,The room is large.
797,das Zimmer,–,room,Noun,n,"Öffne im Schlafzimmer das Fenster, bitte!","Open the window in the bedroom, please!"
798,das Zimmer,–,room,Noun,n,Die Wohnung hat drei Zimmer.,The flat has three rooms.
799,das Zimmer,–,room,Noun,n,Ich habe ein Zimmer bestellt.,I have booked a room.
800,der Zoll,,customs,Noun,m,Wir müssen noch durch den Zoll.,We still need to go through customs.
801,zu,,to,Verb,,Der Bus fährt zum Bahnhof.,The bus goes to the station.
802,zu,,by,Verb,,Ich gehe zu Fuß.,I will go by foot.
803,zu,,at,Verb,,Ich bin zu Hause.,I am at home.
804,zufrieden,,happy,Verb,,Ich bin mit der Wohnung zufrieden.,I am happy with the flat.
805,der Zug,"-ü, e",train,Noun,m,Ich fahre gern mit dem Zug.,I like to travel by train.
806,zurück,,return,Verb,,Einmal Frankfurt und zurück.,A return to Frankfurt.
807,zurück,,back,Verb,,Wann kommst du zurück?,When are you coming back?
808,zusammen,,together,Verb,,Sollen wir zusammen essen gehen?,Should we go out to eat together?
809,zusammen,,together,Verb,,Das macht zusammen 2 Euro 80.,Together that comes to 2 euros 80.
810,zwischen,,between,Verb,,Heidelberg liegt zwischen Frankfurt und Stuttgart.,Heidelberg is located between Frankfurt and Stuttgart.
811,zwischen,,between,Verb,,Zwischen 8 und 10 Uhr bin ich zu Hause.,I’m at home between 8 and 10 o’clock.
812,eins,,one,Verb,,,
813,zwei,,two,Verb,,,
814,drei,,three,Verb,,,
815,vier,,four,Verb,,,
816,fünf,,five,Verb,,,
817,sechs,,six,Verb,,,
818,sieben,,seven,Verb,,,
819,acht,,eight,Verb,,,
820,neun,,nine,Verb,,,
821,zehn,,ten,Verb,,,
822,elf,,eleven,Verb,,,
823,zwölf,,twelve,Verb,,,
824,dreizehn,,thirteen,Verb,,,
825,vierzehn,,fourteen,Verb,,,
826,fünfzehn,,fifteen,Verb,,,
827,sechzehn,,sixteen,Verb,,,
828,siebzehn,,seventeen,Verb,,,
829,achtzehn,,eighteen,Verb,,,
830,neunzehn,,nineteen,Verb,,,
831,zwanzig,,twenty,Verb,,,
832,einundzwanzig,,twenty one,Verb,,,
833,dreißig,,thirty,Verb,,,
834,vierzig,,fourty,Verb,,,
835,fünfzig,,fifty,Verb,,,
836,sechzig,,sixty,Verb,,,
837,siebzig,,seventy,Verb,,,
838,achtzig,,eighty,Verb,,,
839,neunzig,,ninety,Verb,,,
840,(ein)hundert,,(one) hundred,Verb,,,
841,hunderteins,,one hundred and one,Verb,,,
842,zweihundert,,two hundred,Verb,,,
843,(ein)tausend,,(one) thousand,Verb,,,
844,eine Million,-en,one million,Verb,,,
845,eine Milliarde,-en,one billion,Verb,,,
846,erste,,first,Verb,,,
847,zweite,,second,Verb,,,
848,dritte,,third,Verb,,,
849,vierte,,fourth,Verb,,,
850,null Uhr drei,,time: 00:03,Verb,,,
851,sieben Uhr fünfzehn,,time: 07:15,Verb,,,
852,dreizehn Uhr siebzehn,,time: 13:17,Verb,,,
853,vierundzwanzig Uhr,,time: 24:00,Verb,,,
854,die Sekunde,-n,second,Noun,f,,
855,die Minute,-n,minute,Noun,f,,
856,die Stunde,-n,hour,Noun,f,,
857,der Tag,-e,day,Noun,m,,
858,die Woche,-e,week,Noun,f,,
859,das Jahr,-e,year,Noun,n,,
860,ein Uhr,,one o'clock,Verb,,,
861,fünf Minuten vor/nach eins (ein Uhr),,five to/past one (one o’clock),Verb,,,
862,Viertel vor/nach zwei (zwei Uhr),,quarter to/past two (two o’clock),Verb,,,
863,halb drei,,half past two,Verb,,,
864,ein halb; halb,,one half; half,Verb,,,
865,ein Viertel; Viertel,,one quarter; quarter,Verb,,,
866,neunzehnhundertneunundneunzig,,nineteen ninety nine,Verb,,,
867,zweitausendvierzehn,,two thousand and fourteen,Verb,,,
868,der Wochentag,-e,weekday,Noun,m,,
869,der Sonntag,,Sunday,Noun,m,,
870,der Montag,,Monday,Noun,m,,
871,der Dienstag,,Tuesday,Noun,m,,
872,der Mittwoch,,Wednesday,Noun,m,,
873,der Donnerstag,,Thursday,Noun,m,,
874,der Freitag,,Friday,Noun,m,,
875,der Samstag/Sonnabend,,Saturday,Noun,m,,
876,das Wochenende,,weekend,Noun,n,,
877,am Wochenende,,at the weekend,Verb,,,
878,der Tag,,day,Noun,m,,
879,der Morgen,,morning,Noun,m,,
880,der Vormittag,-e,morning,Noun,m,,
881,der Mittag,,midday,Noun,m,,
882,der Nachmittag,-e,afternoon,Noun,m,,
883,der Abend,-e,evening,Noun,m,,
884,die Nacht,¨-e,night,Noun,f,,
885,der Januar,,January,Noun,m,,
886,der Februar,,February,Noun,m,,
887,der März,,March,Noun,m,,
888,der April,,April,Noun,m,,
889,der Mai,,May,Noun,m,,
890,der Juni,,June,Noun,m,,
891,der Juli,,July,Noun,m,,
892,der August,,August,Noun,m,,
893,der September,,September,Noun,m,,
894,der Oktober,,October,Noun,m,,
895,der November,,November,Noun,m,,
896,der Dezember,,December,Noun,m,,
897,der Frühling/das Frühjahr,,spring,Noun,m,,
898,der Sommer,,summer,Noun,m,,
899,der Herbst,,autumn,Noun,m,,
900,der Winter,,winter,Noun,m,,
901,ein Meter,,one metre,Verb,,,
902,ein Zentimeter,,one centimetre,Verb,,,
903,ein Meter fünfzehn,,one metre fifteen,Verb,,,
904,zweihundert Kilometer,,two hundred kilometres,Verb,,,
905,ein Quadratmeter,,one square metre,Verb,,,
906,ein Grad unter Null/minus ein Grad,,one degree below zero/minus one degree,Verb,,,
907,vier Grad über Null/plus vier Grad,,four degrees above zero/plus four degrees,Verb,,,
908,ein Prozent,,one percent,Verb,,,
909,ein Liter,,one litre,Verb,,,
910,ein Gramm,,one gram,Verb,,,
911,ein Pfund,,one pound,Verb,,,
912,ein Kilo(gramm),,one kilo(gram),Verb,,,
913,schwarz,,black,Verb,,,
914,grau,,grey,Verb,,,
915,blau,,blue,Verb,,,
916,grün,,green,Verb,,,
917,weiß,,white,Verb,,,
918,rot,,red,Verb,,,
919,gelb,,yellow,Verb,,,
920,braun,,brown,Verb,,,
921,der Norden,,north,Noun,m,,
922,der Süden,,south,Noun,m,,
923,der Westen,,west,Noun,m,,
924,der Osten,,east,Noun,m,,
925,(sich) waschen,,to wash,Verb,,Ich wasche mich morgens.,I wash in the morning.
926,die Nummer,-n,number,Noun,f,Sie haben Zimmer Nummer zwölf.,You have room number twelve.
